"Name";"Severity";"Description";"Query";"QueryType";"ThresholdOperator";"Threshold";"FrequencyInMinutes";"TimeWindowInMinutes";"MTThresholdOperator";"MTThreshold";"MTMetricTriggerType";"MTMetricColumn";"AG"
"Application Gateway - Client Round Trip Latency - Warning";"1";"Application Gateway - Client Round Trip Latency - Warning";"let _resources = TagData_CL| where Tags_s contains '""te-managed-service"": ""workload""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = AzureMetrics | where MetricName == 'ClientRtt'; _perf | join kind=inner _resources on $left._ResourceId == $right.Id_s | summarize AggregatedValue = avg(Average) by bin(TimeGenerated, 5m), Resource";"ResultCount";"GreaterThan";"1000";"30";"60";"GreaterThan";"0";"Consecutive";"Resource";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-warning-actiongroup"
"Application Gateway - Unhealthy Backend Count - Warning";"1";"Application Gateway - Unhealthy Backend Count - Warning";"let _resources = TagData_CL| where Tags_s contains '""te-managed-service"": ""workload""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = AzureMetrics | where MetricName == 'UnhealthyHostCount'; _perf | join kind=inner _resources on $left._ResourceId == $right.Id_s | summarize AggregatedValue = avg(Count) by bin(TimeGenerated, 5m), Resource";"ResultCount";"GreaterThan";"0";"30";"60";"GreaterThan";"0";"Consecutive";"Resource";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-warning-actiongroup"
"Azure Function - Errors - Critical";"0";"Azure Function - Errors - Critical";"let _resources = TagData_CL| where Tags_s contains '""te-managed-service"": ""workload""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = AppExceptions ; _perf | join kind=inner _resources on $left._ResourceId == $right.Id_s | summarize AggregatedValue = count() by bin(TimeGenerated, 5m), AppRoleName";"ResultCount";"GreaterThan";"80";"5";"5";"GreaterThan";"0";"Consecutive";"AppRoleName";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-critical-actiongroup"
"Azure Function - Errors - Warning";"1";"Azure Function - Errors - Warning";"let _resources = TagData_CL| where Tags_s contains '""te-managed-service"": ""workload""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = AppExceptions ; _perf | join kind=inner _resources on $left._ResourceId == $right.Id_s | summarize AggregatedValue = count() by bin(TimeGenerated, 5m), AppRoleName";"ResultCount";"GreaterThan";"30";"5";"5";"GreaterThan";"0";"Consecutive";"AppRoleName";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-warning-actiongroup"
"Azure SQL - CPU Usage - Critical";"0";"Azure SQL - CPU Usage - Critical";"let _resources = TagData_CL| where Tags_s contains '""te-managed-service"": ""workload""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = AzureMetrics | where MetricName == 'cpu_percent' and ResourceProvider == 'MICROSOFT.SQL'  ; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | summarize AggregatedValue = avg(Average) by bin(TimeGenerated, 5m), Resource";"ResultCount";"GreaterThan";"90";"5";"15";"GreaterThan";"2";"Consecutive";"Resource";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-critical-actiongroup"
"Azure SQL - CPU Usage - Warning";"1";"Azure SQL - CPU Usage - Warning";"let _resources = TagData_CL| where Tags_s contains '""te-managed-service"": ""workload""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = AzureMetrics | where MetricName == 'cpu_percent' and ResourceProvider == 'MICROSOFT.SQL'  ; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | summarize AggregatedValue = avg(Average) by bin(TimeGenerated, 5m), Resource";"ResultCount";"GreaterThan";"80";"5";"15";"GreaterThan";"2";"Consecutive";"Resource";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-warning-actiongroup"
"Azure SQL - Data IO Percentage - Critical";"0";"Azure SQL - Data IO Percentage - Critical";"let _resources = TagData_CL| where Tags_s contains '""te-managed-service"": ""workload""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = AzureMetrics | where MetricName == 'physical_data_read_percent' and ResourceProvider == 'MICROSOFT.SQL'  ; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | summarize AggregatedValue = avg(Average) by bin(TimeGenerated, 5m), Resource";"ResultCount";"GreaterThan";"90";"5";"15";"GreaterThan";"2";"Consecutive";"Resource";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-critical-actiongroup"
"Azure SQL - Data IO Percentage - Warning";"1";"Azure SQL - Data IO Percentage - Warning";"let _resources = TagData_CL| where Tags_s contains '""te-managed-service"": ""workload""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = AzureMetrics | where MetricName == 'physical_data_read_percent' and ResourceProvider == 'MICROSOFT.SQL'  ; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | summarize AggregatedValue = avg(Average) by bin(TimeGenerated, 5m), Resource";"ResultCount";"GreaterThan";"80";"5";"15";"GreaterThan";"2";"Consecutive";"Resource";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-warning-actiongroup"
"Azure SQL - Data Space Used - Critical";"0";"Azure SQL - Data Space Used - Critical";"let _resources = TagData_CL| where Tags_s contains '""te-managed-service"": ""workload""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = AzureMetrics | where MetricName == 'storage_percent' and ResourceProvider == 'MICROSOFT.SQL'  ; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | summarize AggregatedValue = avg(Average) by bin(TimeGenerated, 30m), Resource";"ResultCount";"GreaterThan";"90";"30";"30";"GreaterThan";"2";"Total";"Resource";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-critical-actiongroup"
"Azure SQL - Data Space Used - Warning";"1";"Azure SQL - Data Space Used - Warning";"let _resources = TagData_CL| where Tags_s contains '""te-managed-service"": ""workload""'| summarize arg_max(TimeGenerated, *) by Id_s = tolower(Id_s);let _perf = AzureMetrics | where MetricName == 'storage_percent' and ResourceProvider == 'MICROSOFT.SQL'  ; _perf| join kind=inner _resources on $left._ResourceId == $right.Id_s | summarize AggregatedValue = avg(Average) by bin(TimeGenerated, 30m), Resource";"ResultCount";"GreaterThan";"80";"30";"30";"GreaterThan";"0";"Total";"Resource";"/subscriptions/3a60e7b7-ac49-45d8-8a8f-ba61cdc5dc1f/resourceGroups/rg-teshared-custz-test/providers/microsoft.insights/actionGroups/tm-warning-actiongroup"
